country,director,genres,language,stars,time,title,url,when,writer
USA,Janicza Bravo,Drama,English,"Taylour Paige,Riley Keough,Colman Domingo",90 min,"Zola,",https://www.imdb.com/title/tt5439812/,30 June 2021 (USA),"Janicza Bravo,Jeremy O. Harris"
USA,Jon M. Chu,"Drama,Music,Musical","English,Spanish","Stephanie Beatriz,Lin-Manuel Miranda,Ariana Greenblatt",120 min,"In the Heights,",https://www.imdb.com/title/tt1321510/,18 June 2021 (USA),"Quiara Alegría Hudes,Quiara Alegría Hudes"
"USA,Australia",Destin Daniel Cretton,"Action,Adventure,Fantasy",English,"Simu Liu,Awkwafina,Fala Chen",,"Shang-Chi and the Legend of the Ten Rings,",https://www.imdb.com/title/tt9376612/,9 July 2021 (USA),"Dave Callaham,Steve Englehart"
USA,Everardo Gout,"Action,Horror,Sci-Fi",English,"Will Patton,Josh Lucas,Ana de la Reguera",,"The Forever Purge,",https://www.imdb.com/title/tt10327252/,9 July 2021 (USA),"James DeMonaco,James DeMonaco"
USA,Malcolm D. Lee,"Animation,Adventure,Comedy",English,"LeBron James,Sonequa Martin-Green,Don Cheadle",,"Space Jam: A New Legacy,",https://www.imdb.com/title/tt3554046/,16 July 2021 (USA),"Juel Taylor,Tony Rettenmaier"
"UK,USA",Kay Cannon,"Comedy,Family,Fantasy",English,"Camila Cabello,Billy Porter,Idina Menzel",,"Cinderella,",https://www.imdb.com/title/tt10155932/,16 July 2021 (USA),"Kay Cannon,Kay Cannon"
USA,"Reid Carolin,Channing Tatum","Comedy,Family",English,"Channing Tatum,Cayden Boyd,Aqueela Zoll",,"Dog,",https://www.imdb.com/title/tt11252248/,16 July 2021 (USA),"Reid Carolin,Brett Rodriguez"
"USA,UK",David Bruckner,"Horror,Thriller",,"Rebecca Hall,Vondie Curtis-Hall,Stacy Martin",108 min,"The Night House,",https://www.imdb.com/title/tt9731534/,16 July 2021 (USA),"Ben Collins,Luke Piotrowski"
USA,M. Night Shyamalan,Thriller,English,"Gael García Bernal,Vicky Krieps,Thomasin McKenzie",,"Old,",https://www.imdb.com/title/tt10954652/,23 July 2021 (USA),"Pierre-Oscar Lévy,Frederick Peeters"
"UK,USA",David Gordon Green,"Horror,Thriller",English,"Judy Greer,Jamie Lee Curtis,Anthony Michael Hall",,"Halloween Kills,",https://www.imdb.com/title/tt10665338/,15 October 2021 (USA),"John Carpenter,David Gordon Green"
"USA,UK,Canada","Greg Tiernan,Conrad Vernon,2 more credits","Animation,Adventure,Comedy",English,"Chloë Grace Moretz,Charlize Theron,Oscar Isaac",,"Untitled Addams Family Sequel,",https://www.imdb.com/title/tt11125620/,1 October 2021 (USA),"Dan Hernandez,Benji Samit"
